,Song 1970,Artist 1970,Song 1971,Artist 1971,Song 1972,Artist 1972,Song 1973,Artist 1973,Song 1974,Artist 1974,Song 1975,Artist 1975,Song 1976,Artist 1976,Song 1977,Artist 1977,Song 1978,Artist 1978,Song 1979,Artist 1979,Song 1980,Artist 1980,Song 1981,Artist 1981,Song 1982,Artist 1982,Song 1983,Artist 1983,Song 1984,Artist 1984,Song 1985,Artist 1985,Song 1986,Artist 1986,Song 1987,Artist 1987,Song 1988,Artist 1988,Song 1989,Artist 1989,Song 1990,Artist 1990,Song 1991,Artist 1991,Song 1992,Artist 1992,Song 1993,Artist 1993,Song 1994,Artist 1994,Song 1995,Artist 1995,Song 1996,Artist 1996,Song 1997,Artist 1997,Song 1998,Artist 1998,Song 1999,Artist 1999,Song 2000,Artist 2000,Song 2001,Artist 2001,Song 2002,Artist 2002,Song 2003,Artist 2003,Song 2004,Artist 2004,Song 2005,Artist 2005,Song 2006,Artist 2006,Song 2007,Artist 2007,Song 2008,Artist 2008,Song 2009,Artist 2009,Song 2010,Artist 2010,Song 2011,Artist 2011,Song 2012,Artist 2012,Song 2013,Artist 2013,Song 2014,Artist 2014,Song 2015,Artist 2015,Song 2016,Artist 2016,Song 2017,Artist 2017,Song 2018,Artist 2018,Song 2019,Artist 2019
82,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Swearin' To God,Frankie Valli,Disco Duck,Rick Dees,"Knowing Me, Knowing You",ABBA,Hollywood Nights,Bob Seger & The Silver Bullet Band,We've Got Tonight,Bob Seger,All Night Long,Joe Walsh,Modern Girl,Sheena Easton,Man On Your Mind,Little River Band,Fall In Love With Me,"Earth, Wind & Fire",Major Tom (Coming Home),Peter Schilling,Born In The U.S.A.,Bruce Springsteen,Go Home,Stevie Wonder,Doing It All For My Baby,Huey Lewis & The News,I STILL BELIEVE,Brenda K. Starr,What You Don't Know,Expose,Forever,KISS,You And Me,Lifehouse,You And Me,Lifehouse,You And Me,Lifehouse,You And Me,Lifehouse,You And Me,Lifehouse,You And Me,Lifehouse,You And Me,Lifehouse,You And Me,Lifehouse,You And Me,Lifehouse,You And Me,Lifehouse,You And Me,Lifehouse,You And Me,Lifehouse,You And Me,Lifehouse,You And Me,Lifehouse,You And Me,Lifehouse,You And Me,Lifehouse,Wind It Up,Gwen Stefani,Piece Of Me,Britney Spears,Replay,Iyaz,There Goes My Baby,Usher,Backseat,New Boyz Featuring The Cataracs & Dev,Love You Like A Love Song,Selena Gomez & The Scene,Body Party,Ciara,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Hit The Quan,iLoveMemphis,When We Were Young,Adele,Both,Gucci Mane Featuring Drake,Lemon,N*E*R*D & Rihanna,How Do You Sleep?,Sam Smith
83,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Take The Money And Run,The Steve Miller Band,How Much Love,Leo Sayer,Deacon Blues,Steely Dan,Dance The Night Away,Van Halen,Song,Song,Really Wanna Know You,Gary Wright,What's Forever For,Michael Murphey,Song,Song,Magic,The Cars,Private Dancer,Tina Turner,Song,Song,Right On Track,The Breakfast Club,I Found Someone,Cher,The End Of The Innocence,Don Henley,Jerk Out,The Time,Beep,The Pussycat Dolls Featuring will.i.am,Beep,The Pussycat Dolls Featuring will.i.am,Beep,The Pussycat Dolls Featuring will.i.am,Beep,The Pussycat Dolls Featuring will.i.am,Beep,The Pussycat Dolls Featuring will.i.am,Beep,The Pussycat Dolls Featuring will.i.am,Beep,The Pussycat Dolls Featuring will.i.am,Beep,The Pussycat Dolls Featuring will.i.am,Beep,The Pussycat Dolls Featuring will.i.am,Beep,The Pussycat Dolls Featuring will.i.am,Beep,The Pussycat Dolls Featuring will.i.am,Beep,The Pussycat Dolls Featuring will.i.am,Beep,The Pussycat Dolls Featuring will.i.am,Beep,The Pussycat Dolls Featuring will.i.am,Beep,The Pussycat Dolls Featuring will.i.am,Beep,The Pussycat Dolls Featuring will.i.am,Cyclone,Baby Bash Featuring T-Pain,The Boss,Rick Ross Featuring T-Pain,Then,Brad Paisley,Today Was A Fairytale,Taylor Swift,Headlines,Drake,Turn Up The Music,Chris Brown,Adorn,Miguel,Do What U Want,Lady Gaga Featuring R. Kelly,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",Hide Away,Daya,What About Us,P!nk,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,Baby,Lil Baby & DaBaby
84,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Squeeze Box,The Who,Theme From Star Wars,London Symphony Orchestra,Song,Song,Dancing Shoes,Nigel Olsson,Song,Song,Seven Year Ache,Rosanne Cash,WAITING ON A FRIEND,The Rolling Stones,Song,Song,When You Close Your Eyes,Night Ranger,Who's Zoomin' Who,Aretha Franklin,Song,Song,Ballerina Girl,Lionel Richie,Never Tear Us Apart,INXS,Keep On Movin',Soul II Soul (Featuring Caron Wheeler),Just A Friend,Biz Markie,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",Break It Off,Rihanna & Sean Paul,All Summer Long,Kid Rock,Her Diamonds,Rob Thomas,Say Something,Timbaland Featuring Drake,Best Thing I Never Had,Beyonce,Die Young,Ke$ha,Hall Of Fame,The Script Featuring will.i.am,Can't Remember To Forget You,Shakira Featuring Rihanna,House Party,Sam Hunt,Lean On,Major Lazer & DJ Snake Featuring MO,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,Say Something,Justin Timberlake Featuring Chris Stapleton,Look What God Gave Her,Thomas Rhett
85,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Country Boy (you Got Your Feet In L.a.),Glen Campbell,Devil's Gun,C.J. & Company,Song,Song,The Boss,Diana Ross,Song,Song,I'm Coming Out,Diana Ross,Do I Do,Stevie Wonder,Song,Song,Rock Me Tonite,Billy Squier,Fortress Around Your Heart,Sting,Song,Song,Meet Me Half Way,Kenny Loggins,Valerie,Steve Winwood,Song,Song,Without You,Motley Crue,Say Goodbye,Chris Brown,Say Goodbye,Chris Brown,Say Goodbye,Chris Brown,Say Goodbye,Chris Brown,Say Goodbye,Chris Brown,Say Goodbye,Chris Brown,Say Goodbye,Chris Brown,Say Goodbye,Chris Brown,Say Goodbye,Chris Brown,Say Goodbye,Chris Brown,Say Goodbye,Chris Brown,Say Goodbye,Chris Brown,Say Goodbye,Chris Brown,Say Goodbye,Chris Brown,Say Goodbye,Chris Brown,Say Goodbye,Chris Brown,First Time,Lifehouse,Can't Help But Wait,Trey Songz,How Do You Sleep?,Jesse McCartney Featuring Ludacris,Sweet Dreams,Beyonce,Don't Wanna Go Home,Jason Derulo,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,Amnesia,5 Seconds Of Summer,Ayo,Chris Brown & Tyga,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,Slippery,Migos Featuring Gucci Mane,I'm Upset,Drake,Good As You,Kane Brown
86,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Sail On,Commodores,Song,Song,Miss Sun,Boz Scaggs,Working For The Weekend,Loverboy,Song,Song,Yah Mo Be There,James Ingram With Michael McDonald,Penny Lover,Lionel Richie,Song,Song,I've Been In Love Before,Cutting Crew,Just Like Paradise,David Lee Roth,Song,Song,Swing The Mood,Jive Bunny & The Mastermixers,Waiting On The World To Change,John Mayer,Waiting On The World To Change,John Mayer,Waiting On The World To Change,John Mayer,Waiting On The World To Change,John Mayer,Waiting On The World To Change,John Mayer,Waiting On The World To Change,John Mayer,Waiting On The World To Change,John Mayer,Waiting On The World To Change,John Mayer,Waiting On The World To Change,John Mayer,Waiting On The World To Change,John Mayer,Waiting On The World To Change,John Mayer,Waiting On The World To Change,John Mayer,Waiting On The World To Change,John Mayer,Waiting On The World To Change,John Mayer,Waiting On The World To Change,John Mayer,Waiting On The World To Change,John Mayer,Ayo Technology,50 Cent Featuring Justin Timberlake & Timbaland,In Love With A Girl,Gavin DeGraw,3,Britney Spears,Use Somebody,Kings Of Leon,Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj,A Thousand Years,Christina Perri,U.O.E.N.O.,Rocko Featuring Future & Rick Ross,No Mediocre,T.I. Featuring Iggy Azalea,Kick The Dust Up,Luke Bryan,Watch Me,Silento,Sign Of The Times,Harry Styles,Get Along,Kenny Chesney,Clout,Offset Featuring Cardi B
87,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Strange Way,Firefall,Song,Song,Time Is Time,Andy Gibb,Goin' Down,Greg Guidry,Song,Song,Song,Song,ALL SHE WANTS TO DO IS DANCE,Don Henley,Song,Song,(You Gotta) Fight For Your Right (To Party!),Beastie Boys,Nothin' But A Good Time,Poison,Song,Song,Thieves In The Temple,Prince,Soul Survivor,Young Jeezy Featuring Akon,Soul Survivor,Young Jeezy Featuring Akon,Soul Survivor,Young Jeezy Featuring Akon,Soul Survivor,Young Jeezy Featuring Akon,Soul Survivor,Young Jeezy Featuring Akon,Soul Survivor,Young Jeezy Featuring Akon,Soul Survivor,Young Jeezy Featuring Akon,Soul Survivor,Young Jeezy Featuring Akon,Soul Survivor,Young Jeezy Featuring Akon,Soul Survivor,Young Jeezy Featuring Akon,Soul Survivor,Young Jeezy Featuring Akon,Soul Survivor,Young Jeezy Featuring Akon,Soul Survivor,Young Jeezy Featuring Akon,Soul Survivor,Young Jeezy Featuring Akon,Soul Survivor,Young Jeezy Featuring Akon,Soul Survivor,Young Jeezy Featuring Akon,Outta My System,Bow Wow Featuring T-Pain & Johnta Austin,My Life,The Game Featuring Lil Wayne,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",Undo It,Carrie Underwood,She Ain't You,Chris Brown,Take A Little Ride,Jason Aldean,Next To Me,Emeli Sande,Come With Me Now,KONGOS,Blessings,Big Sean Featuring Drake,Back To Sleep,Chris Brown,Water Under The Bridge,Adele,Moonlight,XXXTENTACION,Love Lies,Khalid & Normani
88,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Arthur's Theme,Christopher Cross,Song,Song,Song,Song,Sentimental Street,Night Ranger,Song,Song,Funkytown,Pseudo Echo,Wait,White Lion,Song,Song,Mentirosa,Mellow Man Ace,Pump It,The Black Eyed Peas,Pump It,The Black Eyed Peas,Pump It,The Black Eyed Peas,Pump It,The Black Eyed Peas,Pump It,The Black Eyed Peas,Pump It,The Black Eyed Peas,Pump It,The Black Eyed Peas,Pump It,The Black Eyed Peas,Pump It,The Black Eyed Peas,Pump It,The Black Eyed Peas,Pump It,The Black Eyed Peas,Pump It,The Black Eyed Peas,Pump It,The Black Eyed Peas,Pump It,The Black Eyed Peas,Pump It,The Black Eyed Peas,Pump It,The Black Eyed Peas,Teardrops On My Guitar,Taylor Swift,I Remember,Keyshia Cole,One Time,Justin Bieber,Eenie Meenie,Sean Kingston & Justin Bieber,Take A Back Road,Rodney Atkins,You Da One,Rihanna,Mama's Broken Heart,Miranda Lambert,Believe Me,Lil Wayne Featuring Drake,Budapest,George Ezra,No Limit,Usher Featuring Young Thug,Malibu,Miley Cyrus,What Lovers Do,Maroon 5 Featuring SZA,One Thing Right,Marshmello & Kane Brown
89,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Through The Years,Kenny Rogers,Song,Song,Song,Song,Sugar Walls,Sheena Easton,Song,Song,Love You Down,Ready For The World,Prove Your Love,Taylor Dayne,Song,Song,Tic-Tac-Toe,Kyper,When I'm Gone,Eminem,When I'm Gone,Eminem,When I'm Gone,Eminem,When I'm Gone,Eminem,When I'm Gone,Eminem,When I'm Gone,Eminem,When I'm Gone,Eminem,When I'm Gone,Eminem,When I'm Gone,Eminem,When I'm Gone,Eminem,When I'm Gone,Eminem,When I'm Gone,Eminem,When I'm Gone,Eminem,When I'm Gone,Eminem,When I'm Gone,Eminem,When I'm Gone,Eminem,Shut Up And Drive,Rihanna,Flashing Lights,Kanye West Featuring Dwele,I Run To You,Lady Antebellum,Right Above It,Lil Wayne Featuring Drake,Please Don't Go,Mike Posner,We Run The Night,Havana Brown Featuring Pitbull,It Goes Like This,Thomas Rhett,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",Chandelier,Sia,Cut It,O.T. Genasis Featuring Young Dolph,Down,Marian Hill,X,Nicky Jam x J Balvin,Cash Shit,Megan Thee Stallion Featuring DaBaby
90,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Hung Up,Madonna,Hung Up,Madonna,Hung Up,Madonna,Hung Up,Madonna,Hung Up,Madonna,Hung Up,Madonna,Hung Up,Madonna,Hung Up,Madonna,Hung Up,Madonna,Hung Up,Madonna,Hung Up,Madonna,Hung Up,Madonna,Hung Up,Madonna,Hung Up,Madonna,Hung Up,Madonna,Hung Up,Madonna,Snow ((Hey Oh)),Red Hot Chili Peppers,Mrs. Officer,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,I Do Not Hook Up,Kelly Clarkson,The House That Built Me,Miranda Lambert,Sure Thing,Miguel,It's Time,Imagine Dragons,Bugatti,Ace Hood Featuring Future & Rick Ross,Beachin',Jake Owen,Heartbeat Song,Kelly Clarkson,Really Really,Kevin Gates,No Promises,Cheat Codes Featuring Demi Lovato,Outside Today,YoungBoy Never Broke Again,Tequila,Dan + Shay
91,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Money Maker,Ludacris Featuring Pharrell,7 Things,Miley Cyrus,Green Light,John Legend Featuring Andre 3000,If I Die Young,The Band Perry,Price Tag,Jessie J Featuring B.o.B,Cashin' Out,Ca$h Out,Wanted,Hunter Hayes,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,Don't,Ed Sheeran,All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,Treat You Better,Shawn Mendes,Trip,Ella Mai,Shotta Flow,NLE Choppa
92,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Love,Keyshia Cole,Love,Keyshia Cole,Love,Keyshia Cole,Love,Keyshia Cole,Love,Keyshia Cole,Love,Keyshia Cole,Love,Keyshia Cole,Love,Keyshia Cole,Love,Keyshia Cole,Love,Keyshia Cole,Love,Keyshia Cole,Love,Keyshia Cole,Love,Keyshia Cole,Love,Keyshia Cole,Love,Keyshia Cole,Love,Keyshia Cole,Kiss Kiss,Chris Brown Featuring T-Pain,You're Gonna Miss This,Trace Adkins,People Are Crazy,Billy Currington,The Only Exception,Paramore,God Gave Me You,Blake Shelton,I Don't Want This Night To End,Luke Bryan,Downtown,Lady Antebellum,She Looks So Perfect,5 Seconds Of Summer,Ghost,Ella Henderson,Starving,Hailee Steinfeld & Grey Featuring Zedd,I Get The Bag,Gucci Mane Featuring Migos,Dura,Daddy Yankee,Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign"
93,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,When You're Mad,Ne-Yo,When You're Mad,Ne-Yo,When You're Mad,Ne-Yo,When You're Mad,Ne-Yo,When You're Mad,Ne-Yo,When You're Mad,Ne-Yo,When You're Mad,Ne-Yo,When You're Mad,Ne-Yo,When You're Mad,Ne-Yo,When You're Mad,Ne-Yo,When You're Mad,Ne-Yo,When You're Mad,Ne-Yo,When You're Mad,Ne-Yo,When You're Mad,Ne-Yo,When You're Mad,Ne-Yo,When You're Mad,Ne-Yo,Far Away,Nickelback,Love Remains The Same,Gavin Rossdale,Whatever It Is,Zac Brown Band,American Honey,Lady Antebellum,She Will,Lil Wayne Featuring Drake,Diamonds,Rihanna,Get Your Shine On,Florida Georgia Line,Stay The Night,Zedd Featuring Hayley Williams,Here,Alessia Cara,Adventure Of A Lifetime,Coldplay,Small Town Boy,Dustin Lynch,Changes,XXXTENTACION,Talk You Out Of It,Florida Georgia Line
94,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Why You Wanna,T.I.,Why You Wanna,T.I.,Why You Wanna,T.I.,Why You Wanna,T.I.,Why You Wanna,T.I.,Why You Wanna,T.I.,Why You Wanna,T.I.,Why You Wanna,T.I.,Why You Wanna,T.I.,Why You Wanna,T.I.,Why You Wanna,T.I.,Why You Wanna,T.I.,Why You Wanna,T.I.,Why You Wanna,T.I.,Why You Wanna,T.I.,Why You Wanna,T.I.,Rock Yo Hips,Crime Mob Featuring Lil Scrappy,Feels Like Tonight,Daughtry,Already Gone,Kelly Clarkson,King Of Anything,Sara Bareilles,Are You Gonna Kiss Me Or Not,Thompson Square,Hard To Love,Lee Brice,#thatPOWER,will.i.am Featuring Justin Bieber,Partition,Beyonce,Waves,Mr. Probz,Humble And Kind,Tim McGraw,Everyday We Lit,YFN Lucci Featuring PnB Rock,Mercy,Brett Young,Beautiful,Bazzi Featuring Camila Cabello
95,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Stupid Girls,P!nk,Stupid Girls,P!nk,Stupid Girls,P!nk,Stupid Girls,P!nk,Stupid Girls,P!nk,Stupid Girls,P!nk,Stupid Girls,P!nk,Stupid Girls,P!nk,Stupid Girls,P!nk,Stupid Girls,P!nk,Stupid Girls,P!nk,Stupid Girls,P!nk,Stupid Girls,P!nk,Stupid Girls,P!nk,Stupid Girls,P!nk,Stupid Girls,P!nk,LoveStoned,Justin Timberlake,The Way I Are,Timbaland Featuring Keri Hilson,Goodbye,Kristinia DeBarge,Life After You,Daughtry,Animal,Neon Trees,Somethin' 'Bout A Truck,Kip Moore,Brave,Sara Bareilles,Studio,ScHoolboy Q Featuring BJ The Chicago Kid,El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,Wicked,Future,Havana,Camila Cabello Featuring Young Thug,One Number Away,Luke Combs,Eyes On You,Chase Rice
96,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Feel Good Inc,Gorillaz,Feel Good Inc,Gorillaz,Feel Good Inc,Gorillaz,Feel Good Inc,Gorillaz,Feel Good Inc,Gorillaz,Feel Good Inc,Gorillaz,Feel Good Inc,Gorillaz,Feel Good Inc,Gorillaz,Feel Good Inc,Gorillaz,Feel Good Inc,Gorillaz,Feel Good Inc,Gorillaz,Feel Good Inc,Gorillaz,Feel Good Inc,Gorillaz,Feel Good Inc,Gorillaz,Feel Good Inc,Gorillaz,Feel Good Inc,Gorillaz,Better Than Me,Hinder,Addicted,Saving Abel,Say Hey (I Love You),Michael Franti & Spearhead Featuring Cherine Anderson,Smile,Uncle Kracker,You And Tequila,Kenny Chesney Featuring Grace Potter,Adorn,Miguel,Let Her Go,Passenger,0 To 100 / The Catch Up,Drake,She Knows,Ne-Yo Featuring Juicy J,Tiimmy Turner,Desiigner,What Lovers Do,Maroon 5 Featuring SZA,Powerglide,Rae Sremmurd & Juicy J,All To Myself,Dan + Shay
97,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,I'm Sprung,T-Pain,I'm Sprung,T-Pain,I'm Sprung,T-Pain,I'm Sprung,T-Pain,I'm Sprung,T-Pain,I'm Sprung,T-Pain,I'm Sprung,T-Pain,I'm Sprung,T-Pain,I'm Sprung,T-Pain,I'm Sprung,T-Pain,I'm Sprung,T-Pain,I'm Sprung,T-Pain,I'm Sprung,T-Pain,I'm Sprung,T-Pain,I'm Sprung,T-Pain,I'm Sprung,T-Pain,Paralyzer,Finger Eleven,Into The Night,Santana Featuring Chad Kroeger,Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana,Teach Me How To Dougie,Cali Swag District,Colder Weather,Zac Brown Band,Fly Over States,Jason Aldean,Runnin' Outta Moonlight,Randy Houser,I Don't Dance,Lee Brice,Night Changes,One Direction,See You Again,Wiz Khalifa Featuring Charlie Puth,Do Re Mi,blackbear,IDGAF,Dua Lipa,Boyfriend,Ariana Grande & Social House
98,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Do I Make You Proud,Taylor Hicks,Do I Make You Proud,Taylor Hicks,Do I Make You Proud,Taylor Hicks,Do I Make You Proud,Taylor Hicks,Do I Make You Proud,Taylor Hicks,Do I Make You Proud,Taylor Hicks,Do I Make You Proud,Taylor Hicks,Do I Make You Proud,Taylor Hicks,Do I Make You Proud,Taylor Hicks,Do I Make You Proud,Taylor Hicks,Do I Make You Proud,Taylor Hicks,Do I Make You Proud,Taylor Hicks,Do I Make You Proud,Taylor Hicks,Do I Make You Proud,Taylor Hicks,Do I Make You Proud,Taylor Hicks,Do I Make You Proud,Taylor Hicks,That's That,Snoop Dogg Featuring R. Kelly,Heaven Sent,Keyshia Cole,Pretty Wings,Maxwell,Try Sleeping With A Broken Heart,Alicia Keys,My Last,Big Sean Featuring Chris Brown,Even If It Breaks Your Heart,Eli Young Band,I'm Different,2 Chainz,Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,Back To Back,Drake,Perfect,One Direction,Look At Me!,XXXTENTACION,Mi Gente,J Balvin & Willy William Featuring Beyonce,Walk Me Home,P!nk
99,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,For You I Will (Confidence),Teddy Geiger,For You I Will (Confidence),Teddy Geiger,For You I Will (Confidence),Teddy Geiger,For You I Will (Confidence),Teddy Geiger,For You I Will (Confidence),Teddy Geiger,For You I Will (Confidence),Teddy Geiger,For You I Will (Confidence),Teddy Geiger,For You I Will (Confidence),Teddy Geiger,For You I Will (Confidence),Teddy Geiger,For You I Will (Confidence),Teddy Geiger,For You I Will (Confidence),Teddy Geiger,For You I Will (Confidence),Teddy Geiger,For You I Will (Confidence),Teddy Geiger,For You I Will (Confidence),Teddy Geiger,For You I Will (Confidence),Teddy Geiger,For You I Will (Confidence),Teddy Geiger,Same Girl,R. Kelly Duet With Usher,She Got It,2 Pistols Featuring T-Pain & Tay Dizm,Never Say Never,The Fray,"Lover, Lover",Jerrod Niemann,Song,Song,Burn It Down,Linkin Park,Still Into You,Paramore,Adore You,Miley Cyrus,How Deep Is Your Love,Calvin Harris & Disciples,Song,Song,The Fighter,Keith Urban Featuring Carrie Underwood,Believer,Imagine Dragons,Robbery,Juice WRLD
